code, run
chatgpt_temp_0.0/16.py, 2m56.362s
chatgpt_temp_0.0/4.py, 2m54.394s
chatgpt_temp_0.0/52.py, 2m55.714s
chatgpt_temp_0.0/53.py, 2m37.527s
chatgpt_temp_0.0/61.py, 2m27.603s
chatgpt_temp_0.0/63.py, 3m9.167s
chatgpt_temp_0.0/66.py, 2m39.705s
chatgpt_temp_0.0/79.py, 2m45.585s
chatgpt_temp_0.0/90.py, 2m47.417s
code-millenials-34b_temp_0.0/16.py, 2m55.103s
code-millenials-34b_temp_0.0/4.py, 2m56.184s
code-millenials-34b_temp_0.0/52.py, 2m54.950s
code-millenials-34b_temp_0.0/53.py, 2m35.316s
code-millenials-34b_temp_0.0/61.py, 2m18.336s
code-millenials-34b_temp_0.0/63.py, 2m58.670s
code-millenials-34b_temp_0.0/66.py, 2m29.481s
code-millenials-34b_temp_0.0/79.py, 2m44.331s
code-millenials-34b_temp_0.0/90.py, 3m13.769s
